Question,Answer
마을이 안 만들어져요,길라잡이 5단계 이상을 달성한 이후 마을 서버로 이동하여 원하는 장소에서 /마을 생성 을 통해 만들 수 있습니다.
마을에 어떻게 친구 초대하나요?,/마을 초대 <닉네임> 을 통해 내 마을에 구성원을 초대할 수 있습니다.
마을에 유지비 어떻게 내나요?,/마을 예금 <금액> 을 통해 마을 금고에 돈을 예금할 수 있습니다.
땅이 안캐져요,마을 서버에서는 내가 점유한 땅에서만 블록을 캐거나 놓을 수 있습니다. 우선 마을을 만들어야 합니다.
마을 삭제 어떻게 해요?,/마을 삭제 로 삭제할 수 있습니다.
마을 월드에서 갇혔는데 어떻게 하나요?,/워프 > 마을월드 를 통해서 마을 월드 내 랜덤텔포가 가능합니다.
마을 월드내에서 마을을 생성할 만한 공간이 안보여요,/워프 > 마을월드 를 통해서 마을 월드 내 랜덤텔포가 가능합니다.
주변이 다 황무지에요,황무지에서 /마을 생성 <만들 마을 이름> 을 입력하시면 됩니다.
제 마을 어떻게 가나요?,속한 마을이 있는 서버에서 /마을 스폰 치시면 됩니다.
다른 유저의 마을은 어떻게 가나요?,마을 서버에서 /마을 스폰 마을이름 치시면 갈 수 있습니다.
마을 동맹 어떻게 해요?,/lands relations allies add <마을 이름> 을 통해 동맹을 맺을 수 있습니다.
제 땅에 돈이 얼마나 있는지 어떻게 보나요?,/마을 금고 로 확인 가능 합니다.
마을 돈 어떻게 빼요?,/마을 출금 으로 빼실 수 있습니다.
마을월드로 안가져요,마을 월드 이동이 안되는 경우 길라잡이가 5단계 이상인지 확인바랍니다.
마을 청크 어떻게 봐요?,"청크의 경계선 F3+G 으로 확인 가능하며, 마을 청크를 보시려면 /view 하시면 됩니다."
유지비 얼마에요? ,매일 자정 청크당 2500원의 유지비가 마을 금고에서 빠져나갑니다. 
유지비 언제 빠져나가요?,매일 자정 청크당 2500원의 유지비가 마을 금고에서 빠져나갑니다. 
금괭이 어디서 얻어요?,/마을 선택모드 명령어를 통해서 얻을 수 있습니다.
다른 유저와 청크를 붙힐 순 없나요?,붙힐 수 있습니다. /마을 > 입주민 권한 > 원하는 역활 선택 > 관리 권한 > 마을 경계 점유 활성화 하면 됩니다.
마을에선 동물 스폰이 안되나요?,"현재 마을에선 동물 스폰이 되지 않으나, 야생에서 몬스터볼을 활용해 데리고 올 수 있습니다."
마을에서 동물 키워도 되나요?,네 키우셔도 됩니다.
제 마을 주변의 누구의 땅이 있는지 볼 수 있나요?,/마을맵 으로 보실 수 있습니다.
